mapid,fid,sem,sub
4a01,44,4a,Engineering Mathematics-IV
4a02,7,4a,Software Engineering
4a03,10,4a,Design And Analysis of Algorithms
4a04,9,4a,Microprocessors And Microcontrollers
4a05,25,4a,Object Oriented Concepts
4a06,4,4a,Data Communication
4aA101l,25,4a,Design And Analysis Of Algorithms Laboratory
4aA101l,29,4a,Design And Analysis Of Algorithms Laboratory
4aA101l,38,4a,Design And Analysis Of Algorithms Laboratory
4aA201l,10,4a,Design And Analysis Of Algorithms Laboratory
4aA201l,32,4a,Design And Analysis Of Algorithms Laboratory
4aA201l,41,4a,Design And Analysis Of Algorithms Laboratory
4aA301l,4,4a,Design And Analysis Of Algorithms Laboratory
4aA301l,10,4a,Design And Analysis Of Algorithms Laboratory
4aA301l,40,4a,Design And Analysis Of Algorithms Laboratory
4aA102l,12,4a,Microprocessor Laboratory
4aA102l,31,4a,Microprocessor Laboratory
4aA102l,42,4a,Microprocessor Laboratory
4aA202l,27,4a,Microprocessor Laboratory
4aA202l,31,4a,Microprocessor Laboratory
4aA202l,34,4a,Microprocessor Laboratory
4aA302l,11,4a,Microprocessor Laboratory
4aA302l,22,4a,Microprocessor Laboratory
4aA302l,34,4a,Microprocessor Laboratory
4b01,44,4b,Engineering Mathematics-IV
4b02,11,4b,Software Engineering
4b03,1,4b,Design And Analysis of Algorithms
4b04,9,4b,Microprocessors And Microcontrollers
4b05,5,4b,Object Oriented Concepts
4b06,15,4b,Data Communication
4bB101l,18,4b,Design And Analysis Of Algorithms Laboratory
4bB101l,39,4b,Design And Analysis Of Algorithms Laboratory
4bB101l,38,4b,Design And Analysis Of Algorithms Laboratory
4bB201l,18,4b,Design And Analysis Of Algorithms Laboratory
4bB201l,40,4b,Design And Analysis Of Algorithms Laboratory
4bB201l,41,4b,Design And Analysis Of Algorithms Laboratory
4bB301l,1,4b,Design And Analysis Of Algorithms Laboratory
4bB301l,13,4b,Design And Analysis Of Algorithms Laboratory
4bB301l,41,4b,Design And Analysis Of Algorithms Laboratory
4bB102l,19,4b,Microprocessor Laboratory
4bB102l,31,4b,Microprocessor Laboratory
4bB102l,34,4b,Microprocessor Laboratory
4bB202l,24,4b,Microprocessor Laboratory
4bB202l,31,4b,Microprocessor Laboratory
4bB202l,34,4b,Microprocessor Laboratory
4bB302l,11,4b,Microprocessor Laboratory
4bB302l,30,4b,Microprocessor Laboratory
4bB302l,34,4b,Microprocessor Laboratory
4c01,44,4c,Engineering Mathematics-IV
4c02,12,4c,Software Engineering
4c03,10,4c,Design And Analysis of Algorithms
4c04,22,4c,Microprocessors And Microcontrollers
4c05,13,4c,Object Oriented Concepts
4c06,4,4c,Data Communication
4cC101l,26,4c,Design And Analysis Of Algorithms Laboratory
4cC101l,39,4c,Design And Analysis Of Algorithms Laboratory
4cC101l,43,4c,Design And Analysis Of Algorithms Laboratory
4cC201l,13,4c,Design And Analysis Of Algorithms Laboratory
4cC201l,15,4c,Design And Analysis Of Algorithms Laboratory
4cC201l,18,4c,Design And Analysis Of Algorithms Laboratory
4cC301l,18,4c,Design And Analysis Of Algorithms Laboratory
4cC301l,25,4c,Design And Analysis Of Algorithms Laboratory
4cC301l,40,4c,Design And Analysis Of Algorithms Laboratory
4cC102l,9,4c,Microprocessor Laboratory
4cC102l,34,4c,Microprocessor Laboratory
4cC102l,42,4c,Microprocessor Laboratory
4cC202l,27,4c,Microprocessor Laboratory
4cC202l,31,4c,Microprocessor Laboratory
4cC202l,34,4c,Microprocessor Laboratory
4cC302l,12,4c,Microprocessor Laboratory
4cC302l,31,4c,Microprocessor Laboratory
4cC302l,34,4c,Microprocessor Laboratory
4d01,44,4d,Engineering Mathematics-IV
4d02,11,4d,Software Engineering
4d03,5,4d,Design And Analysis of Algorithms
4d04,22,4d,Microprocessors And Microcontrollers
4d05,13,4d,Object Oriented Concepts
4d06,19,4d,Data Communication
4dD101l,5,4d,Design And Analysis Of Algorithms Laboratory
4dD101l,26,4d,Design And Analysis Of Algorithms Laboratory
4dD101l,39,4d,Design And Analysis Of Algorithms Laboratory
4dD201l,26,4d,Design And Analysis Of Algorithms Laboratory
4dD201l,29,4d,Design And Analysis Of Algorithms Laboratory
4dD201l,39,4d,Design And Analysis Of Algorithms Laboratory
4dD301l,13,4d,Design And Analysis Of Algorithms Laboratory
4dD301l,14,4d,Design And Analysis Of Algorithms Laboratory
4dD301l,32,4d,Design And Analysis Of Algorithms Laboratory
